species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Numenius_arquata;Scolopaci+;Scolopacidae;77;1;0.052596976;0.062596976;YES;0.838981745;53.053;-3.633;51;2;1984;before 2000;35;456.3
Steganopus_tricolor;Scolopaci+;Scolopacidae;94;1;0.025990903;0.035990903;YES;0.508864472;47.551;-101.002;101;28;1977;Before 2000;129;1692.9
Thinornis_rubricollis;Charadrii;Charadriidae;96;2;0.011264721;0.021264721;YES;0.288129633;-38.388;144.786;94;7;1994;Before 2000;149;1953
Thinornis_rubricollis;Charadrii;Charadriidae;96;1;0.042270531;0.052270531;YES;0.726293245;-38.48;145.224;107;5;1994;Before 2000;70;828
Tringa_glareola;Scolopaci+;Scolopacidae;98;2;0.005204945;0.015204945;YES;0.129154976;61.713;132.077;148;5;1980;Before 2000;17;192.125
Tringa_nebularia;Scolopaci+;Scolopacidae;99;1;0.01812;0.02812;YES;0.4;58.533;-4.232;102;18;1992;Before 2000;24;275.925
Tringa_stagnatilis;Scolopaci+;Scolopacidae;100;1;0.005128205;0.015128205;YES;0.125126861;61.713;132.077;148;1;1982;Before 2000;33;390
Vanellus_coronatus;Charadrii;Charadriidae;104;1;0;0.01;YES;0;-17.799;31.021;49;1;1977;Before 2000;25;470.4
Vanellus_vanellus;Charadrii;Charadriidae;109;15;0.032118419;0.042118419;YES;0.63651292;53.053;-3.633;51;2;1984;Before 2000;152;2148.3
Xenus_cinereus;Scolopaci+;Scolopacidae;110;1;0.005291005;0.015291005;YES;0.133450816;61.713;132.077;148;1;1982;Before 2000;15;189
Calidris_canutus;Scolopaci+;Scolopacidae;12;1;0.032608696;0.042608696;NO;0.577665401;76.083;98.533;69;3;1991;Before 2000;18;184
Tringa_totanus;Scolopaci+;Scolopacidae;101;4;0.008095411;0.018095411;NO;0.201932332;57.126;12.237;140;2;1986;Before 2000;35;700
Vanellus_vanellus;Charadrii;Charadriidae;109;5;0.00488;0.01488;NO;0.140711303;59.95;16.283;142;3;1989;Before 2000;852;12746
