species;clade;family;spec_nr;pop_nr;DPR_orig;DPR_trans;TPR_orig_100;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Phalaropus_fulicarius;Scolopaci+;Scolopacidae;80;2;0.042641326;1;0.629743553;62.9743553;68.61;171.241;12;9;1976;Before 2000;93;984.96
Phalaropus_lobatus;Scolopaci+;Scolopacidae;81;3;0.035087719;1;0.552311168;55.2311168;68.61;171.241;12;9;1976;Before 2000;47;513
Philomachus_pugnax;Scolopaci+;Scolopacidae;82;1;0.001;0;0.025190058;2.5190058;52.308;5.526;134;10;1979;Before 2000;50;750
Philomachus_pugnax;Scolopaci+;Scolopacidae;82;2;0.027728263;1;0.511813949;51.1813949;68.61;171.241;12;9;1976;Before 2000;40;504.9
Pluvialis_apricaria;Charadrii;Charadriidae;83;1;0.054878049;0;0.857330602;85.7330602;60.383;7.633;50;7;1982;Before 2000;51;492
Pluvialis_dominica;Charadrii;Charadriidae;84;1;0.023852117;1;0.540930286;54.0930286;70.38;-149.534;73;4;1990;Before 2000;24;377.325
Pluvialis_squatarola;Charadrii;Charadriidae;86;3;0.005942653;1;0.17241388;17.241388;68.61;171.241;12;9;1976;Before 2000;28;504.825
Pluvialis_squatarola;Charadrii;Charadriidae;86;1;0.014316392;1;0.367345343;36.7345343;70.38;-149.534;73;4;1990;Before 2000;25;419.1
Recurvirostra_avosetta;Charadrii;Other;89;1;0.005;0;0.129639172;12.9639172;52.308;5.526;134;10;1979;Before 2000;500;6500
Recurvirostra_avosetta;Charadrii;Other;89;3;0.015260116;0;0.346859923;34.6859923;36.95;-6.233;35;2;1990;Before 2000;163;2162.5
Rhinoptilus_africanus;Scolopaci+;Other;90;1;0.005;0;0.122190858;12.2190858;-29.117;20.317;37;4;1994;Before 2000;12;199.5
Rhinoptilus_africanus;Scolopaci+;Other;90;2;0.0084;0;0.196937271;19.6937271;-25.44;20.903;63;2;1964;Before 2000;45;475
Scolopax_rusticola;Scolopaci+;Scolopacidae;93;1;0.02;0;0.412178061;41.2178061;54.285;-2.691;40;44;1967;Before 2000;277;1370
Steganopus_tricolor;Scolopaci+;Scolopacidae;94;1;0.025990903;1;0.508864472;50.8864472;47.551;-101.002;101;28;1977;Before 2000;129;1692.9
