species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Belt2;Longitude;Loc_nr;Continent;years_nr;mean_year;period_orig;period_minus5;period_plus5;N_nests;Exposure;research_intensity
Calidris_pusilla;Scolopaci;Scolopacidae;22;1;0.010074786;0.020074786;YES;0.211764346;21.1764346;70.38;Arctic;5_Arctic;-149.534;73;AME;5;1995;before 2000;after 1995;before 2005;196;2580.7;3_high
Calidris_pusilla;Scolopaci;Scolopacidae;22;6;0.041516246;0.051516246;NO;0.630816932;63.0816932;70.6;Arctic;5_Arctic;-154.7;58;AME;4;2012;after 2000;after 1995;after 2005;203;2216;3_high
Calidris_pusilla;Scolopaci;Scolopacidae;22;3;0.047281324;0.057281324;YES;0.679616641;67.9616641;58.701;North temperate;4_North temperate;-93.802;56;AME;3;1981;before 2000;before 1995;before 2005;213;2220.75;3_high
Calidris_pusilla;Scolopaci;Scolopacidae;22;5;0.021274109;0.031274109;NO;0.396697233;39.6697233;70.4;Arctic;5_Arctic;-150.7;28;AME;4;2012;after 2000;after 1995;after 2005;327;4277.5;2_medium
Calidris_ruficollis;Scolopaci;Scolopacidae;23;1;0.038057417;0.048057417;YES;0.628205181;62.8205181;66.134;Arctic;5_Arctic;-169.759;137;ASI;3;1979;before 2000;before 1995;before 2005;51;604.35;3_high
Calidris_temminckii;Scolopaci;Scolopacidae;24;1;0.027698379;0.037698379;YES;0.501729649;50.1729649;65.021;Arctic;5_Arctic;24.72;16;EUR;23;1994;before 2000;before 1995;before 2005;500;5520.48;3_high
Calidris_temminckii;Scolopaci;Scolopacidae;24;3;0.074576271;0.084576271;NO;0.85369888;85.369888;67.025;Arctic;5_Arctic;-174.142;15;ASI;3;1987;before 2000;before 1995;before 2005;19;147.5;3_high
Calidris_temminckii;Scolopaci;Scolopacidae;24;2;0.024890482;0.034890482;YES;0.464790009;46.4790009;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;16;200.88;2_medium
Calidris_tenuirostris;Scolopaci;Scolopacidae;25;1;0.029360492;0.039360492;YES;0.538518623;53.8518623;64.844;Arctic;5_Arctic;178.314;6;ASI;3;1994;before 2000;before 1995;before 2005;13;136.2375;3_high
Catoptrophorus_semipalmatus;Scolopaci;Scolopacidae;26;1;0.02750191;0.03750191;YES;0.535548018;53.5548018;47.551;North temperate;4_North temperate;-101.002;101;AME;28;1977;before 2000;before 1995;before 2005;77;981.75;1_small
Coenocorypha_aucklandica;Scolopaci;Scolopacidae;27;1;0;0.01;YES;0;0;-48.03333;South temperate;1_South temperate;166.6;123;ASI;6;1984;before 2000;before 1995;before 2005;40;842.4;3_high
Cursorius_cursor;Scolopaci;Other;28;1;0.046296296;0.056296296;YES;0.655806189;65.5806189;15.2;North tropics;3_North tropics;-23.168;83;EUR;2;2014;after 2000;after 1995;after 2005;21;216;3_high
Eudromias_morinellus;Charadrii;Charadriidae;29;1;0.025376685;0.035376685;NO;0.525466264;52.5466264;60.383;Arctic;5_Arctic;7.633;50;EUR;7;1982;before 2000;before 1995;before 2005;53;630.5;1_small
Eurynorhynchus_pygmeus;Scolopaci;Scolopacidae;30;1;0.04057971;0.05057971;YES;0.614339935;61.4339935;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;16;172.5;2_medium
Gallinago_delicata;Scolopaci;Scolopacidae;31;1;0.024743726;0.034743726;YES;0.438006465;43.8006465;47.551;North temperate;4_North temperate;-101.002;101;AME;28;1977;before 2000;before 1995;before 2005;24;282.9;1_small
Gallinago_gallinago;Scolopaci;Scolopacidae;32;3;0.010869565;0.020869565;YES;0.222264372;22.2264372;53.709;North temperate;4_North temperate;27.953;145;EUR;2;2000;after 2000;after 1995;before 2005;19;184;2_medium
Gallinago_gallinago;Scolopaci;Scolopacidae;32;1;0.006;0.016;NO;0.129263317;12.9263317;52.308;North temperate;4_North temperate;5.526;134;EUR;10;1979;before 2000;before 1995;before 2005;500;6000;1_small
Gallinago_gallinago;Scolopaci;Scolopacidae;32;2;0.006324111;0.016324111;YES;0.135770075;13.5770075;54.719;North temperate;4_North temperate;20.738;64;EUR;5;2001;after 2000;after 1995;before 2005;32;316.25;1_small
Glareola_nuchalis;Scolopaci;Other;33;1;0.056216931;0.066216931;YES;0.703301179;70.3301179;0.499;North tropics;3_North tropics;12.812;96;EUR;9;1974;before 2000;before 1995;before 2005;36;302.4;1_small
Glareola_nuchalis;Scolopaci;Other;33;2;0.051948052;0.061948052;NO;0.673806852;67.3806852;-17.836;South tropics;2_South tropics;25.709;95;EUR;1;1987;before 2000;before 1995;before 2005;12;77;1_small
Glareola_pratincola;Scolopaci;Other;34;1;0.007910141;0.017910141;YES;0.153608644;15.3608644;33.866;North temperate;4_North temperate;-7.063;112;EUR;2;2003;after 2000;after 1995;before 2005;215;1896.3;1_small
Haematopus_bachmani;Charadrii;Other;35;1;0.017841213;0.027841213;YES;0.401342219;40.1342219;58.508;North temperate;4_North temperate;-135.93;13;AME;2;2004;after 2000;after 1995;before 2005;86;1008.9;2_medium
Haematopus_fuliginosus;Charadrii;Other;37;1;0.029761905;0.039761905;YES;0.570865891;57.0865891;-40.094;South temperate;1_South temperate;148.088;45;ASI;2;1988;before 2000;before 1995;before 2005;65;873.6;1_small
Haematopus_chathamensis;Charadrii;Other;38;1;0.009819211;0.019819211;YES;0.248860869;24.8860869;-43.784;South temperate;1_South temperate;-176.562;54;ASI;3;2000;after 2000;after 1995;before 2005;118;1731.3;2_medium
Haematopus_longirostris;Charadrii;Other;39;1;0.020215633;0.030215633;YES;0.435512725;43.5512725;-40.094;South temperate;1_South temperate;148.088;45;ASI;2;1988;before 2000;before 1995;before 2005;31;445.2;1_small
Haematopus_moquini;Charadrii;Other;40;2;0;0.01;YES;0;0;-34.46;South temperate;1_South temperate;20.552;33;EUR;6;1986;before 2000;before 1995;before 2005;19;266;1_small
Haematopus_moquini;Charadrii;Other;40;1;0.013661202;0.023661202;YES;0.319651765;31.9651765;-33.806;South temperate;1_South temperate;18.369;115;EUR;1;2001;after 2000;after 1995;before 2005;68;1024.8;1_small
Haematopus_ostralegus;Charadrii;Other;36;5;0.011138959;0.021138959;YES;0.273300077;27.3300077;-43.545;South temperate;1_South temperate;172.186;113;ASI;2;1982;before 2000;before 1995;before 2005;13;179.55;3_high
