species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Haematopus_bachmani;Charadrii;Other;35;1;0.017841213;0.027841213;YES;0.401342219;58.508;-135.93;13;2;2004;After 2000;86;1008.9
Haematopus_chathamensis;Charadrii;Other;38;1;0.009819211;0.019819211;YES;0.248860869;-43.784;-176.562;54;3;2000;After 2000;118;1731.3
Limicola_falcinellus;Scolopaci+;Scolopacidae;68;1;0.041172596;0.051172596;YES;0.654829965;72.906;106.104;80;12;2006;After 2000;16;242.88
Recurvirostra_americana;Charadrii;Other;88;1;0.056874502;0.066874502;YES;0.807068756;37.433;-121.967;117;2;2006;After 2000;56;615.39
Vanellus_vanellus;Charadrii;Charadriidae;109;16;0.068848147;0.078848147;YES;0.890444077;47.444;9.698;81;1;2008;After 2000;123;1292.7
Calidris_alpina;Scolopaci+;Scolopacidae;10;6;0.015267176;0.025267176;NO;0.319292766;73.079;80.654;86;1;2002;After 2000;27;393
Calidris_alpina;Scolopaci+;Scolopacidae;10;4;0.016852039;0.026852039;NO;0.346159121;58.701;-93.802;56;4;2012;After 2000;114;1483.5
Calidris_ferruginea;Scolopaci+;Scolopacidae;13;2;0.01948052;0.02948052;NO;0.38486733;73.079;80.654;86;1;2002;After 2000;12;154
Calidris_mauri;Scolopaci+;Scolopacidae;17;5;0.045612009;0.055612009;NO;0.688739402;67.1;-163.5;23;5;2012;After 2000;157;1732
Calidris_mauri;Scolopaci+;Scolopacidae;17;1;0.05;0.06;NO;0.72;64.449;-164.977;2;3;2013;After 2000;196;2280
Calidris_minuta;Scolopaci+;Scolopacidae;19;1;0.019525802;0.029525802;NO;0.383140654;73.079;80.654;86;1;2002;After 2000;126;1434
Calidris_pusilla;Scolopaci+;Scolopacidae;22;6;0.041516246;0.051516246;NO;0.630816932;70.6;-154.7;58;4;2012;After 2000;203;2216
Calidris_pusilla;Scolopaci+;Scolopacidae;22;4;0.08411215;0.09411215;NO;0.873148969;69.4;-81.6;57;2;2013;After 2000;15;107
Charadrius_dubius;Charadrii;Charadriidae;48;1;0.027027027;0.037027027;NO;0.541992979;49.0343;14.799;135;5;2001;After 2000;73;740
Charadrius_mongolus;Charadrii;Charadriidae;53;1;0.021786492;0.031786492;NO;0.442182841;62.543;177.076;87;8;2012;After 2000;67;918
Limnodromus_scolopaceus;Scolopaci+;Scolopacidae;70;3;0.033212996;0.043212996;NO;0.559169142;71.3;-156.6;10;8;2011;After 2000;171;2077.5
